,FECHA DE PAGO,FECHA DE FACTURA,FACTURA,DETALLE,MONTO,PAGO,,,,
,,,,,,,,,,LO QUE TRANSFERIMOS 2 VECES 
,11/11/2024,4/9/2024,225,boedo agosto," $363.000,00",,"- $363.000,00",,,
,Pagamos,,,,," $363.000,00"," $0,00",,,
,24/12/2024,4/9/2025,226,limpieza chile," $169.399,00",,"- $169.399,00",,,
,,10/10/2025,238,Boedo septiembre," $377.520,00",,"- $546.919,00",,,
,Pagamos,,,,," $546.919,00"," $0,00",,,
,07/01/2025,4/11/2024,246,Boedo Octubre," $388.845,60",,"- $388.845,60",,,
,,03/12/2024,268,chile/ la plata art.limp," $181.742,00",,"- $570.587,60",,,
,,03/12/2024,269,art limp," $111.963,72",,"- $682.551,32",,,
,Pagamos,,,,," $682.551,32"," $0,00",,,
,16/01/2025,04/09/2024,225,Boedo agosto," $363.000,00",,"- $363.000,00",,,
,Pagamos,,,,," $363.000,00"," $0,00",,,
,28/03/2025,04/02/2025,283,Boedo Diciembre," $346.302,00",,"- $346.302,00",,,
,,04/02/2025,284,Boedo Enero," $503.360,00",,"- $849.662,00",,,
,,03/12/2024,267,Boedo Noviembre," $400.510,00",,"- $1.250.172,00",,,
,Pagamos,,,,," $1.250.172,00"," $0,00",,,
,30/04/2025,05/02/2025,287,art.limp jbj," $68.486,00",,"- $68.486,00",,,
,,05/02/2025,286,art limp chile y la pla," $736.890,00",,"- $805.376,00",,,
,,05/02/2025,288,art limp," $114.708,00",,"- $920.084,00",,,
,Pagamos,,,,," $920.084,00"," $0,00",,,
,23/05/2025,15/04/2025,315,reves. art.limp," $357.385,60",,"- $357.385,60",,,
,,07/04/2025,309,art limp jbj," $127.292,00",,"- $484.677,60",,,
,,07/05/2025,310,art limp chile," $91.621,20",,"- $576.298,80",,,
,,07/04/2025,311,art limp la plata," $111.105,20",,"- $687.404,00",,,
,,08/04/2025,312,boedo febrero," $566.280,00",,"- $1.253.684,00",,,
,,08/04/2025,313,boedo marzo," $503.360,00",,"- $1.757.044,00",,,
,Pagamos,,,,,"$1.757.044,00"," $0,00",,,
,14/08/2025,15/05/2025,324,Boedo Abril,"$566.280,00",,"- $566.280,00",,,
,,02/06/2025,328,Art. limp jbj,"$26.136,00",,"- $592.416,00",,,
,,02/06/2025,329,art limp la plata,"$233.288,00",,"- $825.704,00",,,
,,02/06/2025,330,art. limp chile,"$93.412,00",,"- $919.116,00",,,
,,02/06/2025,331,Boedo Mayo,"$685.198,80",,"- $1.604.314,80",,,
,Pagamos,,,,,"$1.376.834,80","- $227.480,00",,,
,04/09/2025,08/07/2025,350,Boedo Junio," $685.198,80",,"- $912.678,80",,,
,Pagamos,,,,," $685.198,80","- $227.480,00",,,
,12/09/2025,03/07/2025,346,Peron Pasillos," $4.088.965,10",,"- $4.316.445,10",,,
,Pagamos,,,,," $4.088.965,10","- $227.480,00",,,
,09/10/2025,15/05/2025,324,Boedo Abril,"$566.280,00",,"- $793.760,00",,,
,,08/07/2025,350,Boedo Junio," $685.198,80",,"- $1.478.958,80",,,
,Pagamos,,,,," $1.251.478,80","- $227.480,00"," $1.386.998,80"," $620.482,98",
,,,,," $11.898.249,02"," $13.285.247,82",,,,
,,,,,,,,,,
,,,,,,,,,,
,FECHA DE PAGO,,DETALLE,SIN IVA,CON IVA,DE MAS,PAGO,,,
,08/11/2025,,Boedo Julio,"$730.000,00"," $883.300,00"," $153.300,00",,"-$730.000,00",,
,,,,,,," $883.300,00","$153.300,00",,
,12/12/2025,,Boedo Agosto," $730.000,00"," $883.300,00"," $153.300,00",,"-$576.700,00",,
,,,,,,," $883.300,00","$306.600,00",,
,02/12/2025,,La Plata," $195.500,00"," $236.555,00"," $41.055,00",,"$111.100,00",,
,02/12/2025,,Chile," $195.500,00"," $236.555,00"," $41.055,00",,"-$84.400,00",,
,02/12/2025,,Oficina," $100.500,00"," $121.605,00"," $21.105,00",,"-$184.900,00",,
,02/12/2025,,Revestimiento," $216.000,00"," $261.360,00"," $45.360,00",,"-$400.900,00",,
,,,,,,," $856.075,00","$455.175,00",,
,24/12/2025,,Matafuegos 1 parte,"$675.800,00","$817.718,00","$141.918,00",,"-$220.625,00",,
,,,,,,," $500.000,00","$279.375,00",,
,02/01/2025,,Matafuegos total,,,,,,,
,,,,,,," $317.718,00","$597.093,00",,
,17/01/2025,,Boedo Septiembre,"$735.200,00"," $889.592,00"," $154.392,00",,"-$138.107,00",,
,,,,,,," $889.592,00","$751.485,00",,
,13/02/2025,,Limpieza jbj," $1.100.000,00"," $1.331.000,00"," $231.000,00",,"-$348.515,00",,
,,,,,,," $800.000,00","$451.485,00",,
,14/03/2025,Limpieza Jbj faltante,,,,," $543.100,00","$994.585,00",,
,26/02/2025,,Boedo Octubre," $735.200,00"," $889.592,00"," $154.392,00",,"$259.385,00",,
,,,,,,," $500.000,00","$759.385,00",,
,,,Bolson Godoy,"$26.000,00"," $31.460,00"," $5.460,00",,"$733.385,00",,
,,,Boedo Noviembre,"$749.950,41"," $907.440,00"," $157.489,59",,"-$16.565,41",,
,,,Boedo Diciembre,"$749.950,41"," $907.440,00"," $157.489,59",,"-$766.515,82",,
,,,,,,,,,,
,TOTAL,,,"$6.939.600,82"," $8.396.916,99"," $1.457.316,17"," $6.173.085,00",,,
